::1 - - [13/Dec/2021:09:48:31 +0100] "POST /wp-admin/upgrade.php?step=upgrade_db HTTP/1.1" 200 1
127.0.0.1 - - [13/Dec/2021:09:48:50 +0100] "GET / HTTP/1.1" 200 11068
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-includes/css/dist/block-library/style.min.css?ver=5.8.2 HTTP/1.1" 200 80574
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.4 HTTP/1.1" 200 1127
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-content/themes/twentytwentyone/style.css?ver=1.4 HTTP/1.1" 200 156153
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-includes/js/wp-embed.min.js?ver=5.8.2 HTTP/1.1" 200 1426
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.8.2 HTTP/1.1" 200 18181
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-content/themes/twentytwentyone/assets/css/print.css?ver=1.4 HTTP/1.1" 200 2897
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /favicon.ico HTTP/1.1" 302 -
127.0.0.1 - - [13/Dec/2021:09:48:51 +0100] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.1" 200 4119
127.0.0.1 - - [13/Dec/2021:09:50:37 +0100] "GET / HTTP/1.1" 200 11068
127.0.0.1 - - [13/Dec/2021:09:50:37 +0100] "GET /wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.4 HTTP/1.1" 304 -
127.0.0.1 - - [13/Dec/2021:09:50:37 +0100] "GET /wp-includes/js/wp-embed.min.js?ver=5.8.2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Dec/2021:09:50:37 +0100] "GET /wp-includes/js/wp-emoji-release.min.js?ver=5.8.2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Dec/2021:09:50:45 +0100] "GET /wp-admin HTTP/1.1" 301 240
127.0.0.1 - - [13/Dec/2021:09:50:45 +0100] "GET /wp-admin/ HTTP/1.1" 302 -
